frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
33,0.586582,16.344900,0.439300,0.007200,15.806300,0.091800,9.484320,1.795640,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000100,0.020600,0.006200
34,0.602927,17.143400,0.412700,0.009500,16.653900,0.066700,9.495680,1.757800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000800,0.000400,0.000200,0.046400,0.009200
35,0.620070,16.041300,0.329200,0.004700,15.637000,0.069900,9.559660,1.873910,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000400,0.000100,0.020100,0.006000
36,0.636112,16.726000,0.430300,0.009300,16.209700,0.076200,9.463880,1.757320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000200,0.021100,0.007100
37,0.652838,16.532600,0.513700,0.005100,15.878800,0.134500,9.347600,1.661320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000200,0.000100,0.020600,0.007600
38,0.669370,16.822200,0.641000,0.008900,16.035800,0.136000,11.486510,3.573390,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000200,0.037500,0.015600
39,0.686193,16.713800,0.588900,0.008600,16.043600,0.072100,9.333800,1.638800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000600,0.000400,0.039800,0.015300
40,0.702906,17.247200,0.457300,0.010100,16.713200,0.066300,9.449720,1.748640,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000200,0.021000,0.007700
41,0.720154,16.851100,0.680000,0.010200,16.081600,0.078800,9.357320,1.644720,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000100,0.018500,0.006200
42,0.737005,16.132500,0.553800,0.008500,15.504900,0.064900,9.444960,1.747000,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000200,0.000200,0.020300,0.006400
43,0.753137,17.049000,0.555700,0.010000,16.418800,0.064100,9.374160,1.653240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000200,0.023300,0.006500
44,0.770186,16.900900,0.707900,0.012000,16.097200,0.083200,9.496480,1.755240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000100,0.018400,0.006200
45,0.787087,16.044600,0.660100,0.008500,15.294000,0.081500,9.340880,1.675240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000100,0.000100,0.021600,0.007600
46,0.803132,16.914900,0.775400,0.010400,16.044000,0.084700,9.560840,1.771960,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000200,0.020800,0.007700
47,0.820047,16.123500,0.455300,0.007100,15.399100,0.261100,9.390240,1.685760,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000200,0.000400,0.044300,0.009100
48,0.836170,17.271700,0.614600,0.010400,16.526700,0.119300,9.463440,1.739600,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000400,0.000400,0.026000,0.010600
49,0.853442,15.978800,0.455300,0.008000,15.428700,0.086300,9.428440,1.676200,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000400,0.000300,0.035500,0.013600
50,0.869421,16.410800,0.358400,0.006600,15.948800,0.096500,9.562240,1.832640,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000100,0.022800,0.012500
51,0.885831,16.787900,0.515800,0.004100,16.157100,0.110500,9.354040,1.672920,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000100,0.019600,0.009000
52,0.902619,17.579600,0.600000,0.009100,16.901700,0.068300,9.479480,1.760640,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000200,0.000200,0.025500,0.010600
53,0.920199,16.095400,0.582400,0.006800,15.430300,0.075500,9.405600,1.667200,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000300,0.018900,0.006900
