frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
0,0.000000,29.261900,29.261900,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-4",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109800
1,0.029264,90.136200,44.832200,0.021100,0.136800,45.144400,11.957320,3.289920,1,1920,1080,"scripted-4",36.821600,0.148000,0.022100,0.018000,0.920400,0.500800,0.087600
2,0.119399,58.852600,58.530800,0.024000,0.129600,0.167200,14.357570,3.564010,1,1920,1080,"scripted-4",44.332000,0.171800,0.068100,1.669400,7.056400,0.673900,0.076700
3,0.178252,46.978800,46.487200,0.158300,0.157900,0.174200,14.161240,3.859880,1,1920,1080,"scripted-4",39.309200,0.281200,0.021200,0.659600,2.847900,0.216900,0.093100
4,0.225231,47.656100,47.155900,0.146500,0.156500,0.196200,12.750360,3.413800,1,1920,1080,"scripted-4",38.634000,0.159400,0.038600,0.759700,2.845400,0.451500,0.126300
5,0.272887,48.940500,48.487500,0.117300,0.118400,0.216300,12.381120,3.213200,1,1920,1080,"scripted-4",40.255700,0.149200,0.036300,0.699300,2.735500,0.429100,0.105100
6,0.321827,45.402900,44.988100,0.120100,0.161800,0.131900,13.639200,3.595800,1,1920,1080,"scripted-4",37.660700,0.144800,0.039700,0.735400,2.823400,0.320100,0.082100
7,0.367230,44.387900,43.812200,0.149600,0.270400,0.155000,12.416640,3.385600,1,1920,1080,"scripted-4",36.975300,0.179000,0.020100,0.661500,2.802200,0.192800,0.096100
8,0.411618,44.465000,44.035800,0.134200,0.154000,0.139600,11.923960,3.103800,1,1920,1080,"scripted-4",38.055200,0.138800,0.016500,0.463900,1.894400,0.164900,0.087800
9,0.456083,44.569000,44.092500,0.156500,0.206000,0.113000,13.603680,3.756520,1,1920,1080,"scripted-4",37.068300,0.187900,0.019900,0.740300,2.685700,0.198100,0.083300
10,0.500652,47.260000,46.856300,0.179300,0.113000,0.110800,14.018130,3.340530,1,1920,1080,"scripted-4",39.043600,0.141700,0.024100,0.702700,3.232400,0.303100,0.244900
11,0.547912,43.106400,42.650000,0.167600,0.147200,0.140900,12.007480,3.176000,1,1920,1080,"scripted-4",36.925100,0.211600,0.018100,0.463600,1.852300,0.194300,0.092100
12,0.591019,45.684900,45.146900,0.230400,0.165000,0.141400,12.829160,3.874000,1,1920,1080,"scripted-4",37.833700,0.150400,0.030900,0.698700,2.803000,0.259700,0.075300
13,0.636703,44.989500,44.571400,0.155000,0.151700,0.110600,13.220240,3.634800,1,1920,1080,"scripted-4",36.848900,0.137300,0.035000,0.779500,2.843100,0.546900,0.102300
14,0.681693,43.799300,43.400000,0.160500,0.118400,0.119600,12.780640,3.860400,1,1920,1080,"scripted-4",37.668000,0.172900,0.019300,0.461300,1.863800,0.214300,0.085900
15,0.725492,45.775200,45.227800,0.205800,0.114800,0.226100,12.438240,3.514200,1,1920,1080,"scripted-4",37.941500,0.146500,0.020200,0.661500,2.757900,0.199300,0.494400
