frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
0,0.000000,26.243800,26.243800,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-0",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033600
1,0.026245,45.713300,1.346400,0.004300,0.073700,44.287400,10.014840,2.344880,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000500,0.000100,0.103000,0.010600
2,0.071957,3.710500,3.245900,0.003500,0.247200,0.213600,10.145720,2.333400,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000400,0.000200,0.042600,0.011500
3,0.075668,49.658100,1.265600,0.015500,47.952600,0.423700,10.709720,2.701480,1,1920,1080,"scripted-0",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021800
4,0.125326,15.248800,0.981000,0.018900,14.104800,0.143800,9.471000,1.728720,1,1920,1080,"scripted-0",0.000000,0.000000,0.001500,0.000800,0.000500,0.088100,0.041300
5,0.140575,17.073300,0.626200,0.007500,16.183500,0.255800,9.572880,1.680960,1,1920,1080,"scripted-0",0.000000,0.000000,0.000900,0.001200,0.000200,0.074500,0.014000
6,0.157649,17.156000,0.948000,0.011300,15.799200,0.396300,9.980000,1.910600,1,1920,1080,"scripted-0",0.000000,0.000000,0.001200,0.000300,0.000600,0.041600,0.022400
7,0.174805,16.149000,0.754100,0.019000,15.141500,0.232800,9.617320,1.732080,1,1920,1080,"scripted-0",0.000000,0.000000,0.001000,0.000600,0.000600,0.093300,0.045300
8,0.190953,17.114900,0.653700,0.012200,16.257700,0.190600,9.530240,1.727520,1,1920,1080,"scripted-0",0.000000,0.000000,0.001000,0.000900,0.000200,0.054000,0.024400
9,0.208069,17.193600,1.094500,0.008800,15.745800,0.343400,10.668040,2.443880,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000200,0.000200,0.036600,0.014900
10,0.225263,15.791100,0.749200,0.013300,14.628700,0.398000,10.091040,2.078120,1,1920,1080,"scripted-0",0.000000,0.000000,0.001000,0.000300,0.000200,0.069700,0.026000
