frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
0,0.000000,32.734000,32.734000,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-0",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000
1,0.032737,42.887500,4.820600,0.031500,0.279000,37.753100,10.909360,2.261320,1,1920,1080,"scripted-0",0.000000,0.000000,0.005300,0.005900,0.000200,0.560900,0.050600
2,0.075623,5.034000,4.179500,0.026600,0.453900,0.372300,11.796360,1.983480,1,1920,1080,"scripted-0",0.000000,0.000000,0.010000,0.005000,0.001000,0.169600,0.024200
3,0.080657,50.561600,2.937700,0.203800,47.172000,0.246500,12.311380,3.523440,1,1920,1080,"scripted-0",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034000
4,0.131219,31.635500,2.441100,0.162500,28.845300,0.185100,9.760880,1.657280,1,1920,1080,"scripted-0",0.000000,0.000000,0.006800,0.003800,0.000500,0.153900,0.019500
5,0.162854,17.693300,3.260900,0.190600,14.005100,0.235500,10.486440,1.752680,1,1920,1080,"scripted-0",0.000000,0.000000,0.004200,0.002800,0.000400,0.143400,0.020700
6,0.180548,16.028200,2.853500,0.217000,12.762500,0.192900,10.703400,1.659080,1,1920,1080,"scripted-0",0.000000,0.000000,0.007300,0.009300,0.000100,0.241000,0.032500
7,0.196575,33.539400,2.717900,0.120900,30.425700,0.273600,10.775000,1.738520,1,1920,1080,"scripted-0",0.000000,0.000000,0.002700,0.002300,0.000200,0.108400,0.015900
8,0.230115,16.718100,3.334400,0.292500,12.881300,0.208300,10.427640,1.694840,1,1920,1080,"scripted-0",0.000000,0.000000,0.013000,0.005100,0.000500,0.293700,0.044500
9,0.246833,16.608200,3.038200,0.182900,13.164400,0.221500,9.892680,1.744000,1,1920,1080,"scripted-0",0.000000,0.000000,0.002800,0.003800,0.000200,0.145300,0.023200
10,0.263441,16.844500,3.125700,0.128900,13.395300,0.193800,9.529440,1.696600,1,1920,1080,"scripted-0",0.000000,0.000000,0.004500,0.005400,0.000200,0.135200,0.026900
11,0.280285,17.613700,3.321500,0.175500,13.356800,0.758800,10.009400,2.066960,1,1920,1080,"scripted-0",0.000000,0.000000,0.004700,0.003200,0.000200,0.133200,0.026000
12,0.297900,32.968400,3.558400,0.121000,28.972700,0.314200,9.691080,1.714760,1,1920,1080,"scripted-0",0.000000,0.000000,0.003500,0.002100,0.000200,0.139600,0.021200
13,0.330867,16.168300,3.165900,0.244300,12.582800,0.174300,9.743040,1.673600,1,1920,1080,"scripted-0",0.000000,0.000000,0.006300,0.004100,0.000600,0.172400,0.032700
14,0.347036,15.945500,2.270100,0.131500,13.307300,0.235600,9.459960,1.645520,1,1920,1080,"scripted-0",0.000000,0.000000,0.002300,0.001800,0.000200,0.097700,0.018600
15,0.362981,17.284900,2.961500,0.153600,13.991300,0.177500,9.587880,1.692800,1,1920,1080,"scripted-0",0.000000,0.000000,0.002600,0.003000,0.000200,0.119000,0.021500
16,0.380267,17.467500,3.645200,0.168600,13.451500,0.200200,9.595280,1.639320,1,1920,1080,"scripted-0",0.000000,0.000000,0.003900,0.003700,0.000400,0.147500,0.025000
17,0.397734,15.173500,2.208700,0.163100,12.617900,0.182500,9.481960,1.678640,1,1920,1080,"scripted-0",0.000000,0.000000,0.002800,0.001800,0.000200,0.100700,0.017600
18,0.412908,16.997900,2.530700,0.132300,14.044700,0.288700,9.709040,1.774760,1,1920,1080,"scripted-0",0.000000,0.000000,0.003300,0.003900,0.000200,0.127700,0.023900
19,0.429906,16.949200,3.434800,0.219000,13.105200,0.188600,9.905320,1.701240,1,1920,1080,"scripted-0",0.000000,0.000000,0.005100,0.005500,0.000100,0.245300,0.043700
20,0.446854,101.753700,101.752500,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-0",0.000000,0.000000,0.002100,0.002100,0.000200,0.125300,0.017500
21,0.548609,60.003400,2.821200,0.019200,0.146200,57.014400,10.709920,2.332160,1,1920,1080,"scripted-0",0.000000,0.000000,0.007900,0.006100,0.001300,0.229500,0.016900
22,0.608612,21.138100,3.208400,0.019700,17.702500,0.206100,11.058600,2.284400,1,1920,1080,"scripted-0",0.000000,0.000000,0.006100,0.003400,0.000800,0.155600,0.014900
