frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
0,0.000000,105.603200,105.603200,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-1",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032200
1,0.105604,5.784300,2.026800,0.004200,0.268900,3.484100,12.144320,2.493640,1,1920,1080,"scripted-1",0.233300,0.017200,0.006600,0.046200,0.097900,0.071400,0.014800
2,0.111388,2.531600,1.767300,0.007700,0.198100,0.558000,14.181320,2.047880,1,1920,1080,"scripted-1",0.253600,0.023500,0.000000,0.000000,0.000000,0.000000,0.019500
3,0.113919,11.646100,0.940900,6.164500,3.877400,0.663000,9.895920,1.975240,1,1920,1080,"scripted-1",0.238200,0.076200,0.000000,0.000000,0.000000,0.000000,0.013700
4,0.125566,19.622900,1.171900,11.118300,7.038400,0.293600,10.866960,2.632320,1,1920,1080,"scripted-1",0.565500,0.055300,0.004500,0.033200,0.071200,0.054200,0.024900
5,0.145188,13.967800,0.904800,9.852400,1.979300,1.230900,10.169080,2.116080,1,1920,1080,"scripted-1",0.259400,0.056700,0.001900,0.013100,0.028700,0.024500,0.011400
6,0.159156,45.839700,0.802800,42.763100,2.065000,0.208300,10.638040,2.544560,1,1920,1080,"scripted-1",0.276700,0.092200,0.003000,0.016500,0.032500,0.033200,0.015800
7,0.204996,31.692100,0.719200,29.107300,1.657100,0.208200,10.013320,2.002360,1,1920,1080,"scripted-1",0.236500,0.069800,0.002500,0.017100,0.035800,0.031100,0.011400
8,0.236688,36.252800,0.725300,32.302300,2.860300,0.364500,10.101720,1.944160,1,1920,1080,"scripted-1",0.235800,0.059600,0.002300,0.016800,0.035800,0.027100,0.010500
9,0.272941,52.906300,1.036000,44.985800,6.435200,0.448900,10.363800,2.220920,1,1920,1080,"scripted-1",0.232500,0.057800,0.002300,0.019300,0.043300,0.029800,0.011100
10,0.325847,16.665300,1.363200,8.998600,5.254700,1.048300,10.428840,2.280040,1,1920,1080,"scripted-1",0.314300,0.108700,0.005900,0.028200,0.076300,0.061300,0.023900
11,0.342513,16.612800,1.465400,8.541300,5.801100,0.804400,10.865200,2.511280,1,1920,1080,"scripted-1",0.396500,0.065100,0.007300,0.033400,0.066900,0.091800,0.030100
12,0.359126,16.239100,1.275700,8.787800,5.607300,0.566800,10.479040,2.323040,1,1920,1080,"scripted-1",0.428200,0.059400,0.005100,0.027000,0.046900,0.049700,0.024200
13,0.375365,17.286100,2.038000,9.302700,5.317500,0.626600,10.270920,2.123880,1,1920,1080,"scripted-1",0.664000,0.106200,0.004700,0.034700,0.071100,0.061700,0.046100
14,0.392651,16.909400,1.676000,8.942200,5.905800,0.384700,10.800640,2.371000,1,1920,1080,"scripted-1",0.367400,0.115300,0.004200,0.028800,0.048700,0.043200,0.024300
15,0.409560,15.269300,0.923600,8.566900,5.385000,0.392900,10.508640,2.252960,1,1920,1080,"scripted-1",0.328000,0.089600,0.003600,0.024500,0.045300,0.051000,0.020600
16,0.424831,17.017700,1.986400,9.132800,5.266600,0.629800,10.786880,2.388000,1,1920,1080,"scripted-1",0.918800,0.063000,0.032900,0.062800,0.224200,0.130700,0.064300
17,0.441847,18.269100,1.986600,9.345000,6.059600,0.877600,10.114840,1.973480,1,1920,1080,"scripted-1",0.589900,0.064100,0.004300,0.037400,0.077500,0.080600,0.036100
