frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms
0,0.000000,29.077900,29.077900,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-1",0.000000,0.000000
1,0.029078,49.284700,2.994800,0.007200,0.245500,46.036900,11.654160,3.417480,1,1920,1080,"characters-1",0.374300,0.140700
2,0.078363,22.322800,20.195300,0.013500,0.343400,1.770300,12.083910,3.445250,1,1920,1080,"characters-1",0.495800,0.172900
3,0.100686,15.398100,1.508500,0.019300,13.474100,0.395500,11.344480,3.042320,1,1920,1080,"characters-1",0.769000,0.273100
4,0.116084,16.458600,1.467400,0.014900,14.886300,0.089000,11.146000,2.940640,1,1920,1080,"characters-1",0.780100,0.187800
5,0.132542,16.902800,1.259800,0.010700,15.493700,0.138300,11.293400,3.018800,1,1920,1080,"characters-1",0.496400,0.188100
6,0.149445,16.531000,1.332100,0.012600,15.119600,0.066400,11.136360,2.911360,1,1920,1080,"characters-1",0.645700,0.175200
7,0.165976,16.482000,1.071900,0.008400,15.290100,0.111300,11.273600,2.968640,1,1920,1080,"characters-1",0.496200,0.179300
8,0.182458,16.603700,1.202300,0.012400,15.290500,0.098200,11.451840,3.241360,1,1920,1080,"characters-1",0.552300,0.185700
9,0.199062,16.823000,1.238400,0.013300,15.502800,0.068200,11.609720,3.287920,1,1920,1080,"characters-1",0.512900,0.173300
10,0.215885,16.327400,1.038500,0.010900,15.212200,0.065600,11.428480,3.076720,1,1920,1080,"characters-1",0.516100,0.184300
11,0.232212,17.728900,1.371900,0.010500,15.725000,0.621200,11.750040,3.447440,1,1920,1080,"characters-1",0.500700,0.187900
12,0.249942,16.204200,1.525400,0.018900,14.568200,0.090900,11.363640,3.061240,1,1920,1080,"characters-1",0.584400,0.210100
13,0.266145,16.770200,1.327600,0.013300,15.200300,0.228700,11.121960,2.925400,1,1920,1080,"characters-1",0.551700,0.184000
14,0.282916,15.986000,1.073100,0.008400,14.814700,0.089400,11.033400,2.873560,1,1920,1080,"characters-1",0.533900,0.178300
15,0.298901,17.105000,1.302500,0.011100,15.615900,0.175300,11.195000,3.007040,1,1920,1080,"characters-1",0.445600,0.171400
16,0.316007,16.923200,1.604300,0.010700,15.153100,0.154500,11.055160,2.870720,1,1920,1080,"characters-1",0.651600,0.160300
17,0.332930,16.774900,1.525500,0.011800,15.085900,0.151000,11.023760,2.869000,1,1920,1080,"characters-1",0.564300,0.190600
18,0.349705,15.959500,1.299200,0.009200,14.584600,0.066100,11.033440,2.859400,1,1920,1080,"characters-1",0.730200,0.163800
19,0.365664,16.936000,1.082300,0.013600,15.776200,0.063600,10.939800,2.768400,1,1920,1080,"characters-1",0.482700,0.168700
20,0.382600,80.751100,80.750800,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-1",0.000000,0.000000
21,0.463351,83.324600,1.328900,0.015000,17.210400,64.770000,11.363680,3.100960,1,1920,1080,"characters-1",0.448100,0.189000
22,0.546676,19.722500,17.957500,0.008300,0.247900,1.508500,12.630960,3.612680,1,1920,1080,"characters-1",0.425900,0.181200
23,0.566399,15.887200,2.080500,0.020600,13.568700,0.217000,11.415160,3.125440,1,1920,1080,"characters-1",0.748500,0.327300
24,0.582286,16.657100,1.364100,0.018400,15.180500,0.093500,11.215040,3.044400,1,1920,1080,"characters-1",0.660000,0.286500
25,0.598943,17.235000,1.094200,0.009000,16.044300,0.087000,11.177560,2.941680,1,1920,1080,"characters-1",0.508100,0.194700
26,0.616178,16.343500,1.244800,0.012500,14.928800,0.157100,11.194960,2.997680,1,1920,1080,"characters-1",0.436600,0.198800
27,0.632521,16.882400,1.422800,0.011200,15.284600,0.163400,11.225920,2.970840,1,1920,1080,"characters-1",0.549300,0.172200
28,0.649404,16.475500,1.320000,0.013000,14.993700,0.148500,11.132760,2.956920,1,1920,1080,"characters-1",0.644300,0.212000
29,0.665879,16.724200,1.518800,0.012400,15.027900,0.164600,11.394040,3.058960,1,1920,1080,"characters-1",0.709100,0.167700
30,0.682604,71.236000,55.820300,0.015400,15.287400,0.112400,11.738800,2.966120,1,1920,1080,"characters-1",0.609800,0.202200
31,0.753839,1.221800,0.997500,0.011800,0.114100,0.098000,11.617480,3.309120,1,1920,1080,"characters-1",0.433500,0.098000
32,0.755061,27.383000,0.956000,0.013200,26.302000,0.111400,11.239480,3.037000,1,1920,1080,"characters-1",0.379500,0.162000
33,0.782444,17.343000,1.564600,0.014300,15.531700,0.231800,11.738440,3.312400,1,1920,1080,"characters-1",0.590100,0.200100
34,0.799788,16.224800,1.588700,0.018500,14.508100,0.108500,11.195720,2.992880,1,1920,1080,"characters-1",0.869100,0.194300
35,0.816012,16.608400,1.344800,0.012900,15.088100,0.162300,11.135160,2.932520,1,1920,1080,"characters-1",0.525900,0.185300
36,0.832620,17.009700,1.756800,0.013600,15.075300,0.163600,11.067480,2.918880,1,1920,1080,"characters-1",0.678200,0.198600
37,0.849630,16.111800,1.353200,0.011200,14.670800,0.076200,11.083680,2.890160,1,1920,1080,"characters-1",0.741500,0.170900
38,0.865742,17.211600,1.462500,0.013100,15.565100,0.170500,11.077680,2.920600,1,1920,1080,"characters-1",0.535500,0.172300
39,0.882954,16.799200,1.456800,0.010500,15.254200,0.077100,11.099520,2.838600,1,1920,1080,"characters-1",0.832600,0.177800
