frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms
0,0.000000,32.843900,32.843900,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-0",0.000000,0.000000
1,0.032844,40.292500,2.492700,0.006400,0.106000,37.687100,9.717640,1.978680,1,1920,1080,"characters-0",0.000000,0.000000
2,0.073137,21.559300,21.094500,0.006400,0.256600,0.201500,10.155560,2.163640,1,1920,1080,"characters-0",0.000000,0.000000
3,0.094696,16.054900,0.547100,0.008900,15.357300,0.141100,9.477520,1.657720,1,1920,1080,"characters-0",0.000000,0.000000
4,0.110751,16.414900,0.325800,0.007300,16.001300,0.079900,9.408600,1.716480,1,1920,1080,"characters-0",0.000000,0.000000
5,0.127166,17.031300,0.541600,0.006300,16.166600,0.316300,9.395760,1.709560,1,1920,1080,"characters-0",0.000000,0.000000
6,0.144197,16.553000,0.620100,0.011400,15.793000,0.127900,9.395560,1.686760,1,1920,1080,"characters-0",0.000000,0.000000
7,0.160750,16.289900,0.316700,0.007100,15.894600,0.071100,10.293960,1.859040,1,1920,1080,"characters-0",0.000000,0.000000
8,0.177040,17.187100,0.650700,0.006500,16.327900,0.201800,10.897760,1.747000,1,1920,1080,"characters-0",0.000000,0.000000
9,0.194228,16.421500,0.473500,0.007400,15.792400,0.147400,9.766160,1.735000,1,1920,1080,"characters-0",0.000000,0.000000
10,0.210648,16.808000,0.772500,0.007700,15.827700,0.199900,9.453040,1.689360,1,1920,1080,"characters-0",0.000000,0.000000
11,0.227457,16.660700,0.629000,0.012900,15.841300,0.176900,9.343720,1.643000,1,1920,1080,"characters-0",0.000000,0.000000
12,0.244118,16.677000,0.673400,0.010200,15.854000,0.138100,9.487720,1.677400,1,1920,1080,"characters-0",0.000000,0.000000
13,0.260794,16.602700,0.527000,0.008200,15.895000,0.172100,9.334320,1.660880,1,1920,1080,"characters-0",0.000000,0.000000
14,0.277398,16.795900,0.354900,0.007400,16.325800,0.106700,9.458920,1.681720,1,1920,1080,"characters-0",0.000000,0.000000
15,0.294193,16.642400,0.616800,0.007400,15.940300,0.077600,9.639560,1.651440,1,1920,1080,"characters-0",0.000000,0.000000
16,0.310835,16.220500,0.302200,0.007000,15.820300,0.090700,9.643440,1.676840,1,1920,1080,"characters-0",0.000000,0.000000
17,0.327056,16.904200,0.420600,0.007500,16.413100,0.062800,9.444200,1.649960,1,1920,1080,"characters-0",0.000000,0.000000
18,0.343960,16.616200,0.486200,0.005400,16.003300,0.121000,10.045560,1.815560,1,1920,1080,"characters-0",0.000000,0.000000
19,0.360576,17.204100,0.714200,0.009400,16.323500,0.156600,9.309280,1.673520,1,1920,1080,"characters-0",0.000000,0.000000
20,0.377781,78.301900,78.301400,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-0",0.000000,0.000000
21,0.456082,33.926900,0.354900,0.004500,0.082500,33.484700,9.693970,1.801410,1,1920,1080,"characters-0",0.000000,0.000000
22,0.490009,2.677100,0.709800,0.002900,0.256400,1.707700,10.320360,2.399480,1,1920,1080,"characters-0",0.000000,0.000000
23,0.492686,34.642100,0.550100,0.010600,33.928500,0.152600,9.324440,1.681440,1,1920,1080,"characters-0",0.000000,0.000000
24,0.527328,16.857800,0.710700,0.009700,16.056200,0.080800,9.397840,1.661400,1,1920,1080,"characters-0",0.000000,0.000000
25,0.544186,15.980600,0.315600,0.005200,15.570000,0.089500,9.471760,1.703280,1,1920,1080,"characters-0",0.000000,0.000000
26,0.560167,17.150700,0.561700,0.009600,16.473200,0.105500,9.337920,1.655640,1,1920,1080,"characters-0",0.000000,0.000000
27,0.577317,16.664300,0.519800,0.006500,16.017100,0.120700,9.332560,1.673360,1,1920,1080,"characters-0",0.000000,0.000000
28,0.593982,16.503600,0.434400,0.008100,15.983800,0.076800,9.391000,1.663160,1,1920,1080,"characters-0",0.000000,0.000000
29,0.610485,16.876600,0.508400,0.007400,16.279700,0.080700,10.030560,1.703480,1,1920,1080,"characters-0",0.000000,0.000000
30,0.627362,69.827300,53.586200,0.007900,16.103100,0.129800,10.074240,1.845400,1,1920,1080,"characters-0",0.000000,0.000000
31,0.697189,0.665200,0.388900,0.010500,0.170100,0.095400,9.722280,1.918680,1,1920,1080,"characters-0",0.000000,0.000000
32,0.697854,12.730400,0.556000,0.008200,11.986000,0.179900,9.325080,1.659320,1,1920,1080,"characters-0",0.000000,0.000000
33,0.710585,16.714600,0.559100,0.009000,15.985800,0.160400,9.423800,1.697560,1,1920,1080,"characters-0",0.000000,0.000000
34,0.727299,16.427900,0.391300,0.008300,15.959200,0.068700,9.388920,1.653800,1,1920,1080,"characters-0",0.000000,0.000000
35,0.743727,16.977600,0.626700,0.009300,16.265400,0.076000,9.301000,1.658440,1,1920,1080,"characters-0",0.000000,0.000000
36,0.760705,16.355500,0.307700,0.005800,15.969900,0.071900,9.320320,1.647160,1,1920,1080,"characters-0",0.000000,0.000000
37,0.777060,17.311500,0.520300,0.007600,16.664500,0.118800,9.313080,1.673000,1,1920,1080,"characters-0",0.000000,0.000000
38,0.794372,16.245400,0.529700,0.006900,15.586400,0.122000,9.334120,1.658000,1,1920,1080,"characters-0",0.000000,0.000000
39,0.810617,17.122400,0.864000,0.009800,16.086300,0.161900,9.360200,1.722040,1,1920,1080,"characters-0",0.000000,0.000000
