frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms
0,0.000000,30.775800,30.775800,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
1,0.030776,40.968500,3.676900,0.008800,0.258600,37.024000,12.571200,3.729400,1,1920,1080,"characters-4",0.964200,0.149200
2,0.071745,20.947600,3.827600,0.011400,0.116800,16.991500,12.881040,3.893400,1,1920,1080,"characters-4",1.083500,0.144200
3,0.092692,18.071800,2.635200,0.017000,15.328800,0.090200,12.309520,3.372600,1,1920,1080,"characters-4",1.146300,0.151700
4,0.110764,16.083300,1.825500,0.014800,14.141800,0.100900,12.427560,3.481480,1,1920,1080,"characters-4",1.138500,0.229000
5,0.126847,17.133400,2.071500,0.015300,14.900600,0.145700,12.239920,3.368120,1,1920,1080,"characters-4",1.103700,0.182600
6,0.143981,16.408800,2.397900,0.018400,13.874700,0.117400,12.810160,3.779240,1,1920,1080,"characters-4",1.567800,0.213900
7,0.160390,16.613300,1.946500,0.013200,14.471700,0.181500,14.121510,4.056000,1,1920,1080,"characters-4",1.121400,0.201500
8,0.177003,16.634500,1.995700,0.025000,14.495500,0.118000,12.875120,3.573320,1,1920,1080,"characters-4",1.163200,0.274800
9,0.193637,16.363100,1.915400,0.011600,14.332600,0.103200,12.329720,3.443440,1,1920,1080,"characters-4",1.129700,0.250200
10,0.210000,17.071700,2.550700,0.015400,14.330600,0.174800,12.178440,3.345440,1,1920,1080,"characters-4",1.567600,0.215300
11,0.227072,16.539500,1.820400,0.011800,14.618600,0.088300,12.235240,3.260680,1,1920,1080,"characters-4",1.090800,0.157400
12,0.243612,16.791500,1.994400,0.013000,14.649200,0.134600,12.412560,3.555480,1,1920,1080,"characters-4",1.104100,0.186500
13,0.260403,16.657100,2.568800,0.015900,13.902100,0.169800,12.243120,3.403160,1,1920,1080,"characters-4",1.520200,0.243000
14,0.277060,16.617700,2.044600,0.019900,14.455100,0.097600,12.531640,3.589240,1,1920,1080,"characters-4",1.127000,0.191000
15,0.293678,16.795700,2.164600,0.016700,14.456400,0.157800,12.292320,3.405920,1,1920,1080,"characters-4",1.097300,0.187500
16,0.310474,16.323500,1.804900,0.010900,14.436500,0.070700,12.165800,3.344640,1,1920,1080,"characters-4",1.112500,0.210900
17,0.326797,17.062200,2.006000,0.012800,14.875500,0.167600,12.335960,3.377880,1,1920,1080,"characters-4",1.159700,0.181100
18,0.343859,16.745000,2.133800,0.018500,14.455900,0.136600,12.264480,3.408040,1,1920,1080,"characters-4",1.124600,0.229600
19,0.360604,16.301800,2.174400,0.014100,14.011800,0.101200,12.103760,3.224280,1,1920,1080,"characters-4",1.419200,0.184300
20,0.376906,99.214600,99.214400,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
21,0.476121,64.288300,2.159200,0.011600,0.120400,61.996500,14.030360,3.803360,1,1920,1080,"characters-4",1.236800,0.242000
22,0.540409,21.717100,2.586900,0.010100,17.842800,1.277100,19.210850,5.320930,1,1920,1080,"characters-4",1.180400,0.200900
23,0.562127,31.970800,2.622800,0.028100,29.174100,0.145000,12.534000,3.632640,1,1920,1080,"characters-4",1.432900,0.342100
24,0.594097,16.040600,2.888200,0.018500,12.977700,0.155600,13.306440,4.005760,1,1920,1080,"characters-4",1.648300,0.252500
25,0.610138,16.444100,3.144400,0.021600,13.166100,0.111500,12.602320,3.689440,1,1920,1080,"characters-4",1.788900,0.299000
26,0.626582,16.981600,2.342500,0.014300,14.512900,0.111500,12.343440,3.424040,1,1920,1080,"characters-4",1.575100,0.273500
27,0.643563,16.778000,1.993100,0.014000,14.628000,0.142600,13.195680,3.896800,1,1920,1080,"characters-4",1.150000,0.205000
28,0.660341,16.265400,2.407700,0.016700,13.748900,0.091800,12.210680,3.342040,1,1920,1080,"characters-4",1.535700,0.284900
29,0.676607,17.439500,2.472500,0.012200,14.808000,0.146300,12.513840,3.540200,1,1920,1080,"characters-4",1.578200,0.168800
30,0.694046,75.044600,60.268600,0.013900,14.640200,0.121600,12.766160,3.164400,1,1920,1080,"characters-4",1.098100,0.206700
31,0.769091,1.933200,1.711500,0.009400,0.113000,0.098900,12.654400,3.461800,1,1920,1080,"characters-4",1.069200,0.122300
32,0.771024,22.600000,1.857800,0.012100,20.658500,0.071300,12.807920,3.361600,1,1920,1080,"characters-4",1.139900,0.166400
33,0.793624,16.676800,2.068400,0.017200,14.449700,0.141200,12.469160,3.419120,1,1920,1080,"characters-4",1.143400,0.199500
34,0.810301,16.578600,2.328700,0.013500,14.131000,0.105000,12.450240,3.495000,1,1920,1080,"characters-4",1.577800,0.151400
35,0.826879,16.744900,2.062200,0.019000,14.570700,0.092700,12.964360,3.576640,1,1920,1080,"characters-4",1.156000,0.271100
36,0.843624,16.335400,1.849800,0.014800,14.382900,0.087600,12.676240,3.588520,1,1920,1080,"characters-4",1.132200,0.258800
37,0.859960,16.935400,2.397800,0.016300,14.430700,0.090300,12.310800,3.441280,1,1920,1080,"characters-4",1.612600,0.267700
38,0.876895,17.015600,1.947600,0.017600,14.893700,0.156300,13.271160,3.794720,1,1920,1080,"characters-4",1.166500,0.213400
39,0.893911,16.013500,1.871800,0.016500,14.032900,0.092000,12.596880,3.503000,1,1920,1080,"characters-4",1.123600,0.256600
