clip,time_s,phase,foot_l_x_m,foot_l_y_m,foot_l_z_m,ball_l_x_m,ball_l_y_m,ball_l_z_m,foot_r_x_m,foot_r_y_m,foot_r_z_m,ball_r_x_m,ball_r_y_m,ball_r_z_m,hand_l_x_m,hand_l_y_m,hand_l_z_m,hand_r_x_m,hand_r_y_m,hand_r_z_m
walk,0.358333344,0.268750000,0.089512957,0.112625767,-0.078445805,0.089084974,0.015351624,0.064979530,-0.088957979,0.340533282,-0.095254389,-0.088946879,0.178854455,-0.157650075,0.340464875,0.949974715,0.029351685,-0.254629434,0.947654814,0.027262106
walk,0.362500011,0.271875000,0.089568115,0.113354853,-0.082093085,0.089106958,0.015430109,0.060888739,-0.088980938,0.340155381,-0.086967270,-0.088974424,0.177869306,-0.147766084,0.341195298,0.951122711,0.032794852,-0.253891106,0.947591799,0.023960979
walk,0.366666678,0.275000000,0.089627518,0.114104381,-0.085740651,0.089134172,0.015530952,0.056794632,-0.089012971,0.339896631,-0.078677611,-0.089012966,0.177019146,-0.137873819,0.341898756,0.952284777,0.036237897,-0.253120109,0.947535278,0.020661436
walk,0.370833344,0.278125000,0.089678846,0.114872632,-0.089250312,0.089129076,0.015490486,0.052722074,-0.088983445,0.337605241,-0.070756533,-0.088973568,0.173258639,-0.125742545,0.342566686,0.953173745,0.039792913,-0.252588747,0.947226401,0.017728453
walk,0.375000011,0.281250000,0.089734385,0.115657372,-0.092757848,0.089128763,0.015469581,0.048646930,-0.088962966,0.335425605,-0.062785198,-0.088945815,0.169718728,-0.113524710,0.343206583,0.954078722,0.043347915,-0.252030073,0.946920882,0.014795893
walk,0.379166678,0.284375000,0.089794125,0.116458590,-0.096263155,0.089133232,0.015468257,0.044569325,-0.088951763,0.333358691,-0.054765256,-0.088930054,0.166401274,-0.101224792,0.343818421,0.954999620,0.046902598,-0.251444077,0.946618795,0.011864008
walk,0.383333345,0.287500000,0.089858054,0.117276271,-0.099766127,0.089142478,0.015486529,0.040489383,-0.088950063,0.331405440,-0.046698377,-0.088926623,0.163308041,-0.088847312,0.344402174,0.955936351,0.050456661,-0.250830750,0.946320214,0.008933050
walk,0.387500012,0.290625000,0.089926161,0.118110401,-0.103266659,0.089156497,0.015524416,0.036407229,-0.088958089,0.329566767,-0.038586251,-0.088935855,0.160440691,-0.076396827,0.344957823,0.956888826,0.054009801,-0.250190086,0.946025215,0.006003273
walk,0.391666678,0.293750000,0.089998434,0.118960964,-0.106764647,0.089175284,0.015581933,0.032322987,-0.088976062,0.327843560,-0.030430581,-0.088958073,0.157800786,-0.063877929,0.345485348,0.957856953,0.057561717,-0.249522083,0.945733871,0.003074930
walk,0.395833345,0.296875000,0.090074862,0.119827945,-0.110259985,0.089198836,0.015659095,0.028236782,-0.089004200,0.326236682,-0.022233090,-0.088993591,0.155389786,-0.051295246,0.345984736,0.958840639,0.061112109,-0.248826741,0.945446258,0.000148275
walk,0.400000012,0.300000000,0.090155433,0.120711327,-0.113752570,0.089227147,0.015755916,0.024148740,-0.089042719,0.324746966,-0.013995518,-0.089042717,0.153209044,-0.038653433,0.346455975,0.959839788,0.064660675,-0.248104064,0.945162449,-0.002776438
walk,0.404166679,0.303125000,0.090227665,0.121523050,-0.117158562,0.089222302,0.015680830,0.020062741,-0.089019995,0.321459559,-0.006553133,-0.089010539,0.149148682,-0.025052706,0.346861183,0.960505908,0.068249891,-0.247626992,0.944562063,-0.005361141
walk,0.408333346,0.306250000,0.090304457,0.122361092,-0.120557931,0.089222735,0.015636282,0.015977476,-0.089004442,0.318281645,0.000960012,-0.088987994,0.145418829,-0.011357484,0.347237962,0.961188553,0.071837437,-0.247127425,0.943963406,-0.007944856
walk,0.412500012,0.309375000,0.090385810,0.123225379,-0.123950372,0.089228462,0.015622264,0.011893301,-0.088996285,0.315214571,0.008542044,-0.088975443,0.142021543,0.002422400,0.347586295,0.961887628,0.075423001,-0.246605359,0.943366534,-0.010527398
walk,0.416666679,0.312500000,0.090471725,0.124115829,-0.127335581,0.089239496,0.015638762,0.007810568,-0.088995745,0.312259648,0.016191065,-0.088973231,0.138958555,0.016277064,0.347906173,0.962603038,0.079006274,-0.246060789,0.942771504,-0.013108578
walk,0.420833346,0.315625000,0.090562202,0.125032357,-0.130713256,0.089255850,0.015685760,0.003729631,-0.089003040,0.309418155,0.023905150,-0.088981687,0.136231276,0.030196593,0.348197587,0.963334684,0.082586944,-0.245493716,0.942178372,-0.015688208
walk,0.425000013,0.318750000,0.090657240,0.125974872,-0.134083094,0.089277536,0.015763232,-0.000349156,-0.089018385,0.306691333,0.031682350,-0.089001121,0.133840786,0.044171046,0.348460532,0.964082469,0.086164705,-0.244904139,0.941587194,-0.018266100
